Team,offense_pa_Att,offense_pa_Cmp,offense_pa_Cmp %,offense_pa_Yds/Att,offense_pa_Pass Yds,offense_pa_TD,offense_pa_INT,offense_pa_Rate,offense_pa_1st,offense_pa_1st%,offense_pa_20,offense_pa_40,offense_pa_Lng,offense_pa_Sck,offense_pa_SckY,offense_ru_Att,offense_ru_Rush Yds,offense_ru_YPC,offense_ru_TD,offense_ru_20,offense_ru_40,offense_ru_Lng,offense_ru_Rush 1st,offense_ru_Rush 1st%,offense_ru_Rush FUM,offense_re_Rec,offense_re_Yds,offense_re_Yds/Rec,offense_re_TD,offense_re_20,offense_re_40,offense_re_Lng,offense_re_Rec 1st,offense_re_Rec 1st%,offense_re_Rec FUM,offense_do_3rd Att,offense_do_3rd Md,offense_do_4th Att,offense_do_4th Md,offense_do_Rec 1st,offense_do_Rec 1st%,offense_do_Rush 1st,offense_do_Rush 1st%,offense_do_Scrm Plys,offense_sc_Rsh TD,offense_sc_Rec TD,offense_sc_Tot TD,offense_sc_2-PT,defense_pa_Att,defense_pa_Cmp,defense_pa_Cmp %,defense_pa_Yds/Att,defense_pa_Yds,defense_pa_TD,defense_pa_INT,defense_pa_Rate,defense_pa_1st,defense_pa_1st%,defense_pa_20,defense_pa_40,defense_pa_Lng,defense_pa_Sck,defense_ru_Att,defense_ru_Rush Yds,defense_ru_YPC,defense_ru_TD,defense_ru_20,defense_ru_40,defense_ru_Lng,defense_ru_Rush 1st,defense_ru_Rush 1st%,defense_ru_Rush FUM,defense_re_Rec,defense_re_Yds,defense_re_Yds/Rec,defense_re_TD,defense_re_20,defense_re_40,defense_re_Lng,defense_re_Rec 1st,defense_re_Rec 1st%,defense_re_Rec FUM,defense_re_PDef,defense_in_INT,defense_in_INT TD,defense_in_INT Yds,defense_in_Lng,defense_fu_FF,defense_fu_FR,defense_fu_FR TD,defense_fu_Rec FUM,defense_fu_Rush FUM,defense_do_3rd Att,defense_do_3rd Md,defense_do_4th Att,defense_do_4th Md,defense_do_Rec 1st,defense_do_Rec 1st%,defense_do_Rush 1st,defense_do_Rush 1st%,defense_do_Scrm Plys,defense_ta_Sck,defense_ta_Comb,defense_ta_Asst,defense_ta_Solo,defense_sc_FR TD,defense_sc_SFTY,defense_sc_INT TD,specialteams_fe_FGM,specialteams_fe_Att,specialteams_fe_FG %,specialteams_fe_1-19 > A-M,specialteams_fe_20-29 > A-M,specialteams_fe_30-39 > A-M,specialteams_fe_40-49 > A-M,specialteams_fe_50-59 > A-M,specialteams_fe_60+ > A-M,specialteams_fe_Lng,specialteams_fe_FG Blk,specialteams_ki_Avg,specialteams_ki_Ret_x,specialteams_ki_Yds_x,specialteams_ki_KRet TD,specialteams_ki_20,specialteams_ki_40,specialteams_ki_Lng,specialteams_ki_FC,specialteams_ki_FUM,specialteams_ki_FG Blk,specialteams_ki_XP Blk,specialteams_pu_Avg_x,specialteams_pu_Ret_x,specialteams_pu_Yds_x,specialteams_pu_PRet T,specialteams_pu_20,specialteams_pu_40,specialteams_pu_Lng_x,specialteams_pu_FC_x,specialteams_pu_FUM,specialteams_pu_P Blk_x,specialteams_pu_Net Avg,specialteams_pu_Net Yds,specialteams_pu_Punts,specialteams_pu_Avg_y,specialteams_pu_Lng_y,specialteams_pu_Yds_y,specialteams_pu_IN 20,specialteams_pu_OOB,specialteams_pu_Dn,specialteams_pu_TB,specialteams_pu_FC_y,specialteams_pu_Ret_y,specialteams_pu_RetY,specialteams_pu_TD,specialteams_pu_P Blk_y,specialteams_ki_KO,specialteams_ki_Yds_y,specialteams_ki_TB,specialteams_ki_TB %,specialteams_ki_Ret_y,specialteams_ki_Ret Avg,specialteams_ki_OSK,specialteams_ki_OSK Rec,specialteams_ki_OOB,specialteams_ki_TD,specialteams_sc_FGM,specialteams_sc_FG %,specialteams_sc_XPM,specialteams_sc_XP Pct,specialteams_sc_KRet TD,specialteams_sc_PRet T
Jets,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,517,2108,4.1,14,10,2,48,111,21.5,13,313,3182,10.2,19,39,7,81,150,47.9,5,89,17,2,212,51,14,10,1,5,13,242,90,16,7,150,47.9,111,21.5,1087,64,1005,330,650,1,3,2,36,39,92.3,0,8,11,14,6,0,55,1,22.6,24,542,0,16,0,34,1,2,0,0,9.7,33,319,1,2,1,65,31,3,1,41.8,4136,99,48.8,62,4831,36,8,7,8,28,48,535,1,0,73,4651,62,84.9,8,15.4,1,0,0,0,36,92.3,16,94.1,0,1
Texans,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,565,382,67.6,7.7,4334,17,14,90.1,185,32.7,60,15,75,46,468,1643,3.5,19,5,1,49,110,23.5,5,382,4334,11.4,17,60,15,75,185,48.4,6,73,14,0,63,33,15,10,1,6,5,227,81,29,16,185,48.4,110,23.5,1079,47,1080,383,638,1,0,0,34,38,89.5,0,13,13,4,8,0,54,0,26.6,23,613,2,15,2,98,1,0,1,0,9.7,30,292,0,2,0,22,24,2,0,43.0,3443,80,46.7,74,3735,32,6,10,5,30,29,192,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,34,89.5,31,93.9,2,0
Panthers,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,481,309,64.2,6.5,3109,19,8,88.8,162,33.7,39,9,75,27,508,2081,4.1,25,12,3,62,122,24.0,4,309,3109,10.1,19,39,9,75,162,52.4,3,59,8,2,203,99,5,3,0,3,4,221,84,10,7,162,52.4,122,24.0,1016,65,1096,405,644,0,0,2,25,30,83.3,0,6,7,9,8,0,56,0,26.5,24,637,0,19,2,52,0,1,0,0,8.7,37,322,1,4,1,79,20,2,0,43.0,3528,82,46.8,69,3838,25,6,14,5,26,31,210,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,25,83.3,17,85.0,0,1
Rams,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,477,2045,4.3,18,11,1,56,110,23.1,2,361,4300,11.9,26,64,8,80,206,57.1,4,226,95,21,13,206,57.1,110,23.1,1094,18,26,44,4,604,367,60.8,7.0,4195,24,10,88.0,193,32.0,57,10,80,41,433,1816,4.2,14,10,1,51,108,24.9,7,367,4195,11.4,24,57,10,80,193,52.6,2,60,10,0,100,42,7,5,0,2,7,228,88,30,16,193,52.6,108,24.9,1078,34,1092,402,600,0,2,0,32,43,74.4,0,11,7,15,10,0,54,1,16.1,9,145,0,4,0,36,18,0,0,1,7.3,28,204,0,1,0,29,24,3,0,39.1,2466,63,49.2,72,3101,20,7,5,7,12,32,495,2,1,92,5865,80,87.0,11,26.9,1,0,0,0,32,74.4,32,86.5,0,0
Packers,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,523,342,65.4,7.3,3803,21,7,94.7,189,36.1,56,3,52,45,493,2181,4.4,15,16,1,40,120,24.3,5,342,3803,11.1,21,56,3,52,189,55.3,1,71,7,1,68,37,10,11,1,1,5,224,92,30,14,189,55.3,120,24.3,1061,30,1060,403,614,1,0,1,27,33,81.8,0,6,14,8,4,1,53,0,25.3,31,783,0,26,2,51,0,0,2,0,7.3,26,189,0,3,0,35,15,6,0,39.7,2264,57,46.2,68,2634,18,2,5,5,22,23,270,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,27,81.8,34,87.2,0,0
Bills,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,512,2212,4.3,22,9,1,42,158,30.9,9,385,4306,11.2,29,49,9,81,199,51.7,6,219,109,16,9,199,51.7,158,30.9,1115,22,29,54,3,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,409,1880,4.6,14,13,2,83,96,23.5,4,363,3676,10.1,18,44,1,48,183,50.4,7,67,18,2,148,40,14,11,0,7,4,215,83,19,10,183,50.4,96,23.5,1015,24,1124,385,683,0,0,2,24,29,82.8,0,4,13,6,6,0,54,1,20.5,17,349,0,10,1,41,4,0,1,0,11.6,31,360,1,4,1,96,25,3,0,39.9,2037,51,45.8,70,2334,24,5,7,3,17,19,237,1,0,95,5952,53,55.8,29,22.4,1,0,1,1,24,82.8,49,98.0,0,1
Seahawks,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,382,1580,4.1,11,13,1,45,93,24.4,2,371,4167,11.2,23,56,6,73,189,50.9,0,207,75,16,6,189,50.9,93,24.4,995,11,23,37,2,585,390,66.7,7.3,4259,21,11,92.1,202,34.5,57,10,54,47,515,2352,4.6,24,18,4,72,143,27.8,3,390,4259,10.9,21,57,10,54,202,51.8,5,74,11,3,177,97,13,8,0,5,3,231,107,26,13,202,51.8,143,27.8,1147,38,959,313,605,0,0,3,35,42,83.3,0,8,12,14,8,0,55,0,26.2,26,680,0,24,1,66,0,0,1,0,10.6,25,265,0,3,0,32,16,2,0,44.1,2911,66,50.0,73,3303,25,3,9,8,12,34,232,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,35,83.3,33,100.0,0,0
Colts,574,355,61.8,6.8,3882,18,10,85.0,178,31.0,45,11,75,41,216,479,2059,4.3,19,14,4,56,113,23.6,4,355,3882,10.9,18,45,11,75,178,50.1,3,232,82,32,16,178,50.1,113,23.6,1094,19,18,42,4,568,370,65.1,7.3,4157,21,15,88.2,192,33.8,54,8,75,51,518,2105,4.1,22,11,1,69,123,23.8,7,370,4157,11.2,21,54,8,75,192,51.9,4,79,15,3,256,66,17,9,1,4,7,240,89,26,17,192,51.9,123,23.8,1137,41,1133,437,597,1,1,3,33,41,80.5,0,9,10,9,12,1,57,1,22.2,9,200,0,3,1,42,8,1,0,0,9.2,29,267,0,2,0,32,22,3,1,43.0,2921,68,48.2,69,3281,21,7,10,0,13,38,360,0,1,93,5960,72,77.4,15,26.1,0,0,0,0,33,80.5,35,97.2,0,0
Buccaneers,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75,40,232,439,1509,3.4,8,5,0,38,79,18.0,4,364,4044,11.1,28,60,12,75,188,51.6,7,236,98,18,12,188,51.6,79,18.0,1047,8,28,37,2,611,404,66.1,7.5,4568,23,13,92.0,213,34.9,65,9,76,48,422,1620,3.8,11,5,0,29,101,23.9,8,404,4568,11.3,23,65,9,76,213,52.7,6,89,13,1,93,28,18,12,0,6,8,225,92,25,12,213,52.7,101,23.9,1081,40,1055,383,629,0,1,1,29,31,93.6,0,8,12,3,8,0,57,2,20.4,16,327,0,7,0,32,5,0,0,0,9.4,25,234,0,1,1,51,18,2,0,41.8,3219,77,50.0,74,3854,26,11,9,9,9,38,455,0,0,82,5124,52,63.4,26,18.9,1,0,0,0,29,93.6,33,100.0,0,0
Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184,456,2308,5.1,27,17,8,76,113,24.8,13,393,4698,12.0,30,59,12,78,223,56.7,4,202,85,25,11,223,56.7,113,24.8,1053,27,30,61,0,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,433,1650,3.8,15,6,2,55,109,25.2,5,380,4132,10.9,27,57,10,75,186,49.0,6,66,15,4,270,99,15,12,0,6,5,216,84,30,14,186,49.0,109,25.2,1057,31,1046,336,654,0,0,4,24,28,85.7,0,6,7,8,7,0,57,2,24.5,18,441,0,16,0,33,1,0,0,0,9.8,27,265,0,0,0,19,26,1,0,40.7,2157,53,45.7,66,2424,20,6,8,3,19,17,207,1,0,98,6327,83,84.7,15,30.5,0,0,0,1,24,85.7,58,98.3,0,0
