Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,Home_Win
11,Bengals,Ravens,Ravens,328,3881,11.8,27,52,9,80,180,54.9,6,420,4257,10.1,27,46,10,80,208,49.5,3,1
4,Bengals,Titans,Titans,304,3512,11.6,14,54,10,70,158,52.0,2,420,4257,10.1,27,46,10,80,208,49.5,3,1
13,Bengals,Jaguars,Bengals,412,4377,10.6,22,51,10,65,199,48.3,8,420,4257,10.1,27,46,10,80,208,49.5,3,0
5,Bengals,Cardinals,Bengals,355,3430,9.7,18,38,3,69,173,48.7,2,420,4257,10.1,27,46,10,80,208,49.5,3,0
8,Bengals,49ers,Bengals,336,4577,13.6,33,75,15,76,207,61.6,3,420,4257,10.1,27,46,10,80,208,49.5,3,0
1,Panthers,Falcons,Falcons,327,3775,11.5,17,46,10,75,181,55.4,2,350,3245,9.3,13,31,5,48,150,42.9,7,1
14,Panthers,Saints,Saints,406,4225,10.4,28,52,11,58,199,49.0,0,350,3245,9.3,13,31,5,48,150,42.9,7,1
10,Panthers,Bears,Bears,321,3421,10.7,19,48,5,58,169,52.6,4,350,3245,9.3,13,31,5,48,150,42.9,7,1
3,Panthers,Seahawks,Seahawks,371,4167,11.2,23,56,6,73,189,50.9,0,350,3245,9.3,13,31,5,48,150,42.9,7,1
5,Panthers,Lions,Lions,408,4606,11.3,30,70,9,70,228,55.9,4,350,3245,9.3,13,31,5,48,150,42.9,7,1
12,Panthers,Titans,Titans,304,3512,11.6,14,54,10,70,158,52.0,2,350,3245,9.3,13,31,5,48,150,42.9,7,1
13,Panthers,Buccaneers,Buccaneers,364,4044,11.1,28,60,12,75,188,51.6,7,350,3245,9.3,13,31,5,48,150,42.9,7,1
17,Panthers,Jaguars,Jaguars,412,4377,10.6,22,51,10,65,199,48.3,8,350,3245,9.3,13,31,5,48,150,42.9,7,1
6,Panthers,Dolphins,Dolphins,393,4698,12.0,30,59,12,78,223,56.7,4,350,3245,9.3,13,31,5,48,150,42.9,7,1
2,Packers,Falcons,Falcons,327,3775,11.5,17,46,10,75,181,55.4,2,374,4210,11.3,32,56,7,77,211,56.4,5,1
17,Packers,Vikings,Packers,424,4700,11.1,30,74,7,62,220,51.9,4,374,4210,11.3,32,56,7,77,211,56.4,5,0
10,Packers,Steelers,Steelers,323,3421,10.6,13,41,9,86,153,47.4,6,374,4210,11.3,32,56,7,77,211,56.4,5,1
1,Packers,Bears,Packers,321,3421,10.7,19,48,5,58,169,52.6,4,374,4210,11.3,32,56,7,77,211,56.4,5,0
