Week,Away Team,Home Team,Winning Team,FF_home,FR_home,FR TD_home,Rec FUM_home,Rush FUM_home,FF_away,FR_away,FR TD_away,Rec FUM_away,Rush FUM_away,Home_Win
10,Panthers,Bears,Bears,13,6,0,4,6,5,3,0,3,4,1
3,Panthers,Seahawks,Seahawks,13,8,0,5,3,5,3,0,3,4,1
5,Panthers,Lions,Lions,13,6,0,3,4,5,3,0,3,4,1
12,Panthers,Titans,Titans,13,8,0,2,3,5,3,0,3,4,1
13,Panthers,Buccaneers,Buccaneers,18,12,0,6,8,5,3,0,3,4,1
17,Panthers,Jaguars,Jaguars,12,11,0,5,4,5,3,0,3,4,1
6,Panthers,Dolphins,Dolphins,15,12,0,6,5,5,3,0,3,4,1
2,Packers,Falcons,Falcons,19,8,0,3,9,10,11,1,1,5,1
17,Packers,Vikings,Packers,22,11,2,9,7,10,11,1,1,5,0
10,Packers,Steelers,Steelers,19,11,1,6,8,10,11,1,1,5,1
1,Packers,Bears,Packers,13,6,0,4,6,10,11,1,1,5,0
7,Packers,Broncos,Broncos,19,15,1,2,12,10,11,1,1,5,1
14,Packers,Giants,Giants,19,13,0,8,6,10,11,1,1,5,1
12,Packers,Lions,Packers,13,6,0,3,4,10,11,1,1,5,0
16,Packers,Panthers,Packers,5,3,0,3,4,10,11,1,1,5,0
5,Packers,Raiders,Raiders,14,9,2,4,6,10,11,1,1,5,1
5,Texans,Falcons,Falcons,19,8,0,3,9,15,10,1,6,5,1
18,Texans,Colts,Texans,17,9,1,4,7,15,10,1,6,5,0
1,Texans,Ravens,Ravens,16,13,0,3,4,15,10,1,6,5,1
14,Texans,Jets,Jets,14,10,1,5,13,15,10,1,6,5,1
10,Texans,Bengals,Texans,11,9,0,4,6,15,10,1,6,5,0
15,Texans,Titans,Texans,13,8,0,2,3,15,10,1,6,5,0
3,Texans,Jaguars,Texans,12,11,0,5,4,15,10,1,6,5,0
8,Texans,Panthers,Panthers,5,3,0,3,4,15,10,1,6,5,1
6,Commanders,Falcons,Commanders,19,8,0,3,9,10,10,0,3,8,0
2,Commanders,Broncos,Commanders,19,15,1,2,12,10,10,0,3,8,0
4,Commanders,Eagles,Eagles,16,8,1,6,5,10,10,0,3,8,1
10,Commanders,Seahawks,Seahawks,13,8,0,5,3,10,10,0,3,8,1
7,Commanders,Giants,Giants,19,13,0,8,6,10,10,0,3,8,1
16,Commanders,Jets,Jets,14,10,1,5,13,10,10,0,3,8,1
15,Commanders,Rams,Rams,7,5,0,2,7,10,10,0,3,8,1
12,Commanders,Cowboys,Cowboys,14,8,1,5,8,10,10,0,3,8,1
9,Commanders,Patriots,Commanders,15,8,1,3,11,10,10,0,3,8,0
9,Vikings,Falcons,Vikings,19,8,0,3,9,22,11,2,9,7,0
6,Vikings,Bears,Vikings,13,6,0,4,6,22,11,2,9,7,0
11,Vikings,Broncos,Broncos,19,15,1,2,12,22,11,2,9,7,1
2,Vikings,Eagles,Eagles,16,8,1,6,5,22,11,2,9,7,1
15,Vikings,Bengals,Bengals,11,9,0,4,6,22,11,2,9,7,1
18,Vikings,Lions,Lions,13,6,0,3,4,22,11,2,9,7,1
4,Vikings,Panthers,Vikings,5,3,0,3,4,22,11,2,9,7,0
8,Vikings,Packers,Vikings,10,11,1,1,5,22,11,2,9,7,0
14,Vikings,Raiders,Vikings,14,9,2,4,6,22,11,2,9,7,0
12,Saints,Falcons,Falcons,19,8,0,3,9,8,11,1,4,4,1
8,Saints,Colts,Saints,17,9,1,4,7,8,11,1,4,4,0
10,Saints,Vikings,Vikings,22,11,2,9,7,8,11,1,4,4,1
17,Saints,Buccaneers,Saints,18,12,0,6,8,8,11,1,4,4,0
6,Saints,Texans,Texans,15,10,1,6,5,8,11,1,4,4,1
16,Saints,Rams,Rams,7,5,0,2,7,8,11,1,4,4,1
5,Saints,Patriots,Saints,15,8,1,3,11,8,11,1,4,4,0
2,Saints,Panthers,Saints,5,3,0,3,4,8,11,1,4,4,0
3,Saints,Packers,Packers,10,11,1,1,5,8,11,1,4,4,1
14,Buccaneers,Falcons,Buccaneers,19,8,0,3,9,18,12,0,6,8,0
12,Buccaneers,Colts,Colts,17,9,1,4,7,18,12,0,6,8,1
1,Buccaneers,Vikings,Buccaneers,22,11,2,9,7,18,12,0,6,8,0
4,Buccaneers,Saints,Buccaneers,8,11,1,4,4,18,12,0,6,8,0
8,Buccaneers,Bills,Bills,14,11,0,7,4,18,12,0,6,8,1
9,Buccaneers,Texans,Texans,15,10,1,6,5,18,12,0,6,8,1
18,Buccaneers,Panthers,Buccaneers,5,3,0,3,4,18,12,0,6,8,0
11,Buccaneers,49ers,49ers,10,6,0,6,4,18,12,0,6,8,1
15,Buccaneers,Packers,Buccaneers,10,11,1,1,5,18,12,0,6,8,0
16,Colts,Falcons,Falcons,19,8,0,3,9,17,9,1,4,7,1
3,Colts,Ravens,Colts,16,13,0,3,4,17,9,1,4,7,0
14,Colts,Bengals,Bengals,11,9,0,4,6,17,9,1,4,7,1
13,Colts,Titans,Colts,13,8,0,2,3,17,9,1,4,7,0
6,Colts,Jaguars,Jaguars,12,11,0,5,4,17,9,1,4,7,1
2,Colts,Texans,Colts,15,10,1,6,5,17,9,1,4,7,0
10,Colts,Patriots,Colts,15,8,1,3,11,17,9,1,4,7,0
9,Colts,Panthers,Colts,5,3,0,3,4,17,9,1,4,7,0
3,Titans,Browns,Browns,14,10,1,2,5,13,8,0,2,3,1
5,Titans,Colts,Colts,17,9,1,4,7,13,8,0,2,3,1
1,Titans,Saints,Saints,8,11,1,4,4,13,8,0,2,3,1
9,Titans,Steelers,Steelers,19,11,1,6,8,13,8,0,2,3,1
10,Titans,Buccaneers,Buccaneers,18,12,0,6,8,13,8,0,2,3,1
11,Titans,Jaguars,Jaguars,12,11,0,5,4,13,8,0,2,3,1
17,Titans,Texans,Texans,15,10,1,6,5,13,8,0,2,3,1
14,Titans,Dolphins,Titans,15,12,0,6,5,13,8,0,2,3,0
4,Ravens,Browns,Ravens,14,10,1,2,5,16,13,0,3,4,0
5,Ravens,Steelers,Steelers,19,11,1,6,8,16,13,0,3,4,1
12,Ravens,Chargers,Ravens,15,12,0,3,8,16,13,0,3,4,0
2,Ravens,Bengals,Ravens,11,9,0,4,6,16,13,0,3,4,0
6,Ravens,Titans,Ravens,13,8,0,2,3,16,13,0,3,4,0
15,Ravens,Jaguars,Ravens,12,11,0,5,4,16,13,0,3,4,0
8,Ravens,Cardinals,Ravens,6,6,1,2,4,16,13,0,3,4,0
16,Ravens,49ers,Ravens,10,6,0,6,4,16,13,0,3,4,0
6,49ers,Browns,Browns,14,10,1,2,5,10,6,0,6,4,1
7,49ers,Vikings,Vikings,22,11,2,9,7,10,6,0,6,4,1
1,49ers,Steelers,49ers,19,11,1,6,8,10,6,0,6,4,0
17,49ers,Commanders,49ers,10,10,0,3,8,10,6,0,6,4,0
13,49ers,Eagles,49ers,16,8,1,6,5,10,6,0,6,4,0
12,49ers,Seahawks,49ers,13,8,0,5,3,10,6,0,6,4,0
10,49ers,Jaguars,49ers,12,11,0,5,4,10,6,0,6,4,0
2,49ers,Rams,49ers,7,5,0,2,7,10,6,0,6,4,0
15,49ers,Cardinals,49ers,6,6,1,2,4,10,6,0,6,4,0
