Week,Away Team,Home Team,Winning Team,offense_pa_Att_home,offense_pa_Cmp_home,offense_pa_Cmp %_home,offense_pa_Yds/Att_home,offense_pa_Pass Yds_home,offense_pa_TD_home,offense_pa_INT_home,offense_pa_Rate_home,offense_pa_1st_home,offense_pa_1st%_home,offense_pa_20_home,offense_pa_40_home,offense_pa_Lng_home,offense_pa_Sck_home,offense_pa_SckY_home,offense_ru_Att_home,offense_ru_Rush Yds_home,offense_ru_YPC_home,offense_ru_TD_home,offense_ru_20_home,offense_ru_40_home,offense_ru_Lng_home,offense_ru_Rush 1st_home,offense_ru_Rush 1st%_home,offense_ru_Rush FUM_home,offense_re_Rec_home,offense_re_Yds_home,offense_re_Yds/Rec_home,offense_re_TD_home,offense_re_20_home,offense_re_40_home,offense_re_Lng_home,offense_re_Rec 1st_home,offense_re_Rec 1st%_home,offense_re_Rec FUM_home,offense_do_3rd Att_home,offense_do_3rd Md_home,offense_do_4th Att_home,offense_do_4th Md_home,offense_do_Rec 1st_home,offense_do_Rec 1st%_home,offense_do_Rush 1st_home,offense_do_Rush 1st%_home,offense_do_Scrm Plys_home,offense_sc_Rsh TD_home,offense_sc_Rec TD_home,offense_sc_Tot TD_home,offense_sc_2-PT_home,offense_pa_Att_away,offense_pa_Cmp_away,offense_pa_Cmp %_away,offense_pa_Yds/Att_away,offense_pa_Pass Yds_away,offense_pa_TD_away,offense_pa_INT_away,offense_pa_Rate_away,offense_pa_1st_away,offense_pa_1st%_away,offense_pa_20_away,offense_pa_40_away,offense_pa_Lng_away,offense_pa_Sck_away,offense_pa_SckY_away,offense_ru_Att_away,offense_ru_Rush Yds_away,offense_ru_YPC_away,offense_ru_TD_away,offense_ru_20_away,offense_ru_40_away,offense_ru_Lng_away,offense_ru_Rush 1st_away,offense_ru_Rush 1st%_away,offense_ru_Rush FUM_away,offense_re_Rec_away,offense_re_Yds_away,offense_re_Yds/Rec_away,offense_re_TD_away,offense_re_20_away,offense_re_40_away,offense_re_Lng_away,offense_re_Rec 1st_away,offense_re_Rec 1st%_away,offense_re_Rec FUM_away,offense_do_3rd Att_away,offense_do_3rd Md_away,offense_do_4th Att_away,offense_do_4th Md_away,offense_do_Rec 1st_away,offense_do_Rec 1st%_away,offense_do_Rush 1st_away,offense_do_Rush 1st%_away,offense_do_Scrm Plys_away,offense_sc_Rsh TD_away,offense_sc_Rec TD_away,offense_sc_Tot TD_away,offense_sc_2-PT_away,Home_Win
12,Steelers,Bengals,Steelers,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,0
4,Steelers,Texans,Texans,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,1
7,Steelers,Rams,Steelers,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,477,2045,4.3,18,11,1,56,110,23.1,2,361,4300,11.9,26,64,8,80,206,57.1,4,226,95,21,13,206,57.1,110,23.1,1094,18,26,44,4,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,0
3,Steelers,Raiders,Steelers,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,0
14,Jaguars,Browns,Browns,624,355,56.9,6.4,4011,24,23,73.7,173,27.7,53,15,75,45,318,518,2017,3.9,15,9,3,69,121,23.4,9,355,4011,11.3,24,53,15,75,173,48.7,5,253,80,32,18,173,48.7,121,23.4,1187,15,24,42,6,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,1
1,Jaguars,Colts,Jaguars,574,355,61.8,6.8,3882,18,10,85.0,178,31.0,45,11,75,41,216,479,2059,4.3,19,14,4,56,113,23.6,4,355,3882,10.9,18,45,11,75,178,50.1,3,232,82,32,16,178,50.1,113,23.6,1094,19,18,42,4,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,0
7,Jaguars,Saints,Jaguars,606,406,67.0,7.0,4225,28,11,94.8,199,32.8,52,11,58,35,235,480,1742,3.6,13,4,0,29,112,23.3,6,406,4225,10.4,28,52,11,58,199,49.0,0,235,91,19,9,199,49.0,112,23.3,1121,13,28,44,4,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,0
8,Jaguars,Steelers,Jaguars,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,0
5,Jaguars,Bills,Jaguars,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,512,2212,4.3,22,9,1,42,158,30.9,9,385,4306,11.2,29,49,9,81,199,51.7,6,219,109,16,9,199,51.7,158,30.9,1115,22,29,54,3,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,0
18,Jaguars,Titans,Titans,494,304,61.5,7.1,3512,14,11,83.2,158,32.0,54,10,70,64,445,444,1846,4.2,16,10,2,69,103,23.2,6,304,3512,11.6,14,54,10,70,158,52.0,2,212,71,20,11,158,52.0,103,23.2,1002,16,14,31,1,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,1
