Week,Away Team,Home Team,Winning Team,Att_home,Cmp_home,Cmp %_home,Yds/Att_home,Pass Yds_home,TD_home,INT_home,Rate_home,1st_home,1st%_home,20_home,40_home,Lng_home,Sck_home,SckY_home,Att_away,Cmp_away,Cmp %_away,Yds/Att_away,Pass Yds_away,TD_away,INT_away,Rate_away,1st_away,1st%_away,20_away,40_away,Lng_away,Sck_away,SckY_away,Home_Win
3,Cowboys,Cardinals,Cardinals,555,355,64.0,6.2,3430,18,12,82.9,173,31.2,38,3,69,42,286,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,1
11,Cowboys,Panthers,Cowboys,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,0
5,Cowboys,49ers,49ers,491,336,68.4,9.3,4577,33,12,110.2,207,42.2,75,15,76,34,193,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,1
16,Cowboys,Dolphins,Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,1
9,Seahawks,Ravens,Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80,41,246,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,1
4,Seahawks,Giants,Seahawks,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80,85,465,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,0
6,Seahawks,Bengals,Bengals,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,1
2,Seahawks,Lions,Seahawks,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,0
16,Seahawks,Titans,Seahawks,494,304,61.5,7.1,3512,14,11,83.2,158,32.0,54,10,70,64,445,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,0
11,Seahawks,Rams,Rams,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,1
18,Seahawks,Cardinals,Seahawks,555,355,64.0,6.2,3430,18,12,82.9,173,31.2,38,3,69,42,286,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,0
13,Seahawks,Cowboys,Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,1
14,Seahawks,49ers,49ers,491,336,68.4,9.3,4577,33,12,110.2,207,42.2,75,15,76,34,193,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,1
