Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,PRet T_home,20_home,40_home,Lng_home,FC_home,FUM_home,P Blk_home,Avg_away,Ret_away,Yds_away,PRet T_away,20_away,40_away,Lng_away,FC_away,FUM_away,P Blk_away,Home_Win
1,Buccaneers,Vikings,Buccaneers,7.8,37,289,0,3,0,25,14,1,0,9.4,25,234,0,1,1,51,18,2,0,0
4,Buccaneers,Saints,Buccaneers,12.2,32,392,1,2,1,76,24,0,0,9.4,25,234,0,1,1,51,18,2,0,0
8,Buccaneers,Bills,Bills,11.6,31,360,1,4,1,96,25,3,0,9.4,25,234,0,1,1,51,18,2,0,1
9,Buccaneers,Texans,Texans,9.7,30,292,0,2,0,22,24,2,0,9.4,25,234,0,1,1,51,18,2,0,1
18,Buccaneers,Panthers,Buccaneers,8.7,37,322,1,4,1,79,20,2,0,9.4,25,234,0,1,1,51,18,2,0,0
11,Buccaneers,49ers,49ers,8.0,34,273,0,0,0,19,13,2,0,9.4,25,234,0,1,1,51,18,2,0,1
15,Buccaneers,Packers,Buccaneers,7.3,26,189,0,3,0,35,15,6,0,9.4,25,234,0,1,1,51,18,2,0,0
16,Colts,Falcons,Falcons,7.2,33,239,0,1,0,23,18,2,0,9.2,29,267,0,2,0,32,22,3,1,1
3,Colts,Ravens,Colts,14.4,29,417,1,6,2,76,27,0,0,9.2,29,267,0,2,0,32,22,3,1,0
14,Colts,Bengals,Bengals,10.2,34,346,1,4,1,81,16,1,0,9.2,29,267,0,2,0,32,22,3,1,1
13,Colts,Titans,Colts,7.9,42,330,0,1,0,21,14,3,0,9.2,29,267,0,2,0,32,22,3,1,0
6,Colts,Jaguars,Jaguars,10.2,29,297,0,4,1,48,17,2,0,9.2,29,267,0,2,0,32,22,3,1,1
2,Colts,Texans,Colts,9.7,30,292,0,2,0,22,24,2,0,9.2,29,267,0,2,0,32,22,3,1,0
10,Colts,Patriots,Colts,6.3,33,208,0,2,0,25,26,5,0,9.2,29,267,0,2,0,32,22,3,1,0
9,Colts,Panthers,Colts,8.7,37,322,1,4,1,79,20,2,0,9.2,29,267,0,2,0,32,22,3,1,0
3,Titans,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,7.9,42,330,0,1,0,21,14,3,0,1
5,Titans,Colts,Colts,9.2,29,267,0,2,0,32,22,3,1,7.9,42,330,0,1,0,21,14,3,0,1
1,Titans,Saints,Saints,12.2,32,392,1,2,1,76,24,0,0,7.9,42,330,0,1,0,21,14,3,0,1
9,Titans,Steelers,Steelers,8.6,30,257,0,3,0,34,13,3,2,7.9,42,330,0,1,0,21,14,3,0,1
10,Titans,Buccaneers,Buccaneers,9.4,25,234,0,1,1,51,18,2,0,7.9,42,330,0,1,0,21,14,3,0,1
11,Titans,Jaguars,Jaguars,10.2,29,297,0,4,1,48,17,2,0,7.9,42,330,0,1,0,21,14,3,0,1
17,Titans,Texans,Texans,9.7,30,292,0,2,0,22,24,2,0,7.9,42,330,0,1,0,21,14,3,0,1
14,Titans,Dolphins,Titans,9.8,27,265,0,0,0,19,26,1,0,7.9,42,330,0,1,0,21,14,3,0,0
4,Ravens,Browns,Ravens,8.4,41,343,0,1,0,21,36,2,0,14.4,29,417,1,6,2,76,27,0,0,0
5,Ravens,Steelers,Steelers,8.6,30,257,0,3,0,34,13,3,2,14.4,29,417,1,6,2,76,27,0,0,1
12,Ravens,Chargers,Ravens,16.0,24,385,1,6,1,87,29,3,0,14.4,29,417,1,6,2,76,27,0,0,0
