Week,Away Team,Home Team,Winning Team,FR TD_home,SFTY_home,INT TD_home,FR TD_away,SFTY_away,INT TD_away,Home_Win
1,Bills,Jets,Jets,1,3,2,0,0,2,1
9,Bills,Bengals,Bengals,0,0,1,0,0,2,1
7,Bills,Patriots,Patriots,1,1,0,0,0,2,1
18,Bills,Dolphins,Bills,0,0,4,0,0,2,0
16,Raiders,Chiefs,Raiders,2,0,0,2,1,3,0
17,Raiders,Colts,Colts,1,1,3,2,1,3,1
7,Raiders,Bears,Bears,0,0,2,2,1,3,1
1,Raiders,Broncos,Raiders,1,1,0,2,1,3,0
4,Raiders,Chargers,Chargers,0,0,0,2,1,3,1
2,Raiders,Bills,Bills,0,0,2,2,1,3,1
8,Raiders,Lions,Lions,0,1,1,2,1,3,1
11,Raiders,Dolphins,Dolphins,0,0,4,2,1,3,1
17,Bengals,Chiefs,Chiefs,2,0,0,0,0,1,1
1,Bengals,Browns,Browns,1,0,2,0,0,1,1
16,Bengals,Steelers,Steelers,1,1,1,0,0,1,1
11,Bengals,Ravens,Ravens,0,1,1,0,0,1,1
4,Bengals,Titans,Titans,0,0,1,0,0,1,1
13,Bengals,Jaguars,Bengals,0,0,2,0,0,1,0
5,Bengals,Cardinals,Bengals,1,0,0,0,0,1,0
8,Bengals,49ers,Bengals,0,1,1,0,0,1,0
1,Panthers,Falcons,Falcons,0,1,1,0,0,2,1
14,Panthers,Saints,Saints,1,0,1,0,0,2,1
10,Panthers,Bears,Bears,0,0,2,0,0,2,1
3,Panthers,Seahawks,Seahawks,0,0,3,0,0,2,1
5,Panthers,Lions,Lions,0,1,1,0,0,2,1
12,Panthers,Titans,Titans,0,0,1,0,0,2,1
13,Panthers,Buccaneers,Buccaneers,0,1,1,0,0,2,1
17,Panthers,Jaguars,Jaguars,0,0,2,0,0,2,1
6,Panthers,Dolphins,Dolphins,0,0,4,0,0,2,1
2,Packers,Falcons,Falcons,0,1,1,1,0,1,1
17,Packers,Vikings,Packers,2,0,0,1,0,1,0
10,Packers,Steelers,Steelers,1,1,1,1,0,1,1
1,Packers,Bears,Packers,0,0,2,1,0,1,0
7,Packers,Broncos,Broncos,1,1,0,1,0,1,1
14,Packers,Giants,Giants,0,0,3,1,0,1,1
12,Packers,Lions,Packers,0,1,1,1,0,1,0
16,Packers,Panthers,Packers,0,0,2,1,0,1,0
5,Packers,Raiders,Raiders,2,1,3,1,0,1,1
5,Texans,Falcons,Falcons,0,1,1,1,0,0,1
18,Texans,Colts,Texans,1,1,3,1,0,0,0
1,Texans,Ravens,Ravens,0,1,1,1,0,0,1
14,Texans,Jets,Jets,1,3,2,1,0,0,1
10,Texans,Bengals,Texans,0,0,1,1,0,0,0
15,Texans,Titans,Texans,0,0,1,1,0,0,0
3,Texans,Jaguars,Texans,0,0,2,1,0,0,0
8,Texans,Panthers,Panthers,0,0,2,1,0,0,1
6,Commanders,Falcons,Commanders,0,1,1,0,0,0,0
2,Commanders,Broncos,Commanders,1,1,0,0,0,0,0
4,Commanders,Eagles,Eagles,1,1,2,0,0,0,1
10,Commanders,Seahawks,Seahawks,0,0,3,0,0,0,1
7,Commanders,Giants,Giants,0,0,3,0,0,0,1
16,Commanders,Jets,Jets,1,3,2,0,0,0,1
15,Commanders,Rams,Rams,0,2,0,0,0,0,1
12,Commanders,Cowboys,Cowboys,1,1,5,0,0,0,1
9,Commanders,Patriots,Commanders,1,1,0,0,0,0,0
9,Vikings,Falcons,Vikings,0,1,1,2,0,0,0
6,Vikings,Bears,Vikings,0,0,2,2,0,0,0
11,Vikings,Broncos,Broncos,1,1,0,2,0,0,1
2,Vikings,Eagles,Eagles,1,1,2,2,0,0,1
15,Vikings,Bengals,Bengals,0,0,1,2,0,0,1
18,Vikings,Lions,Lions,0,1,1,2,0,0,1
4,Vikings,Panthers,Vikings,0,0,2,2,0,0,0
8,Vikings,Packers,Vikings,1,0,1,2,0,0,0
14,Vikings,Raiders,Vikings,2,1,3,2,0,0,0
12,Saints,Falcons,Falcons,0,1,1,1,0,1,1
8,Saints,Colts,Saints,1,1,3,1,0,1,0
10,Saints,Vikings,Vikings,2,0,0,1,0,1,1
17,Saints,Buccaneers,Saints,0,1,1,1,0,1,0
6,Saints,Texans,Texans,1,0,0,1,0,1,1
16,Saints,Rams,Rams,0,2,0,1,0,1,1
5,Saints,Patriots,Saints,1,1,0,1,0,1,0
2,Saints,Panthers,Saints,0,0,2,1,0,1,0
3,Saints,Packers,Packers,1,0,1,1,0,1,1
14,Buccaneers,Falcons,Buccaneers,0,1,1,0,1,1,0
12,Buccaneers,Colts,Colts,1,1,3,0,1,1,1
1,Buccaneers,Vikings,Buccaneers,2,0,0,0,1,1,0
4,Buccaneers,Saints,Buccaneers,1,0,1,0,1,1,0
8,Buccaneers,Bills,Bills,0,0,2,0,1,1,1
9,Buccaneers,Texans,Texans,1,0,0,0,1,1,1
18,Buccaneers,Panthers,Buccaneers,0,0,2,0,1,1,0
11,Buccaneers,49ers,49ers,0,1,1,0,1,1,1
15,Buccaneers,Packers,Buccaneers,1,0,1,0,1,1,0
16,Colts,Falcons,Falcons,0,1,1,1,1,3,1
3,Colts,Ravens,Colts,0,1,1,1,1,3,0
14,Colts,Bengals,Bengals,0,0,1,1,1,3,1
13,Colts,Titans,Colts,0,0,1,1,1,3,0
6,Colts,Jaguars,Jaguars,0,0,2,1,1,3,1
2,Colts,Texans,Colts,1,0,0,1,1,3,0
10,Colts,Patriots,Colts,1,1,0,1,1,3,0
9,Colts,Panthers,Colts,0,0,2,1,1,3,0
3,Titans,Browns,Browns,1,0,2,0,0,1,1
5,Titans,Colts,Colts,1,1,3,0,0,1,1
1,Titans,Saints,Saints,1,0,1,0,0,1,1
9,Titans,Steelers,Steelers,1,1,1,0,0,1,1
10,Titans,Buccaneers,Buccaneers,0,1,1,0,0,1,1
11,Titans,Jaguars,Jaguars,0,0,2,0,0,1,1
17,Titans,Texans,Texans,1,0,0,0,0,1,1
14,Titans,Dolphins,Titans,0,0,4,0,0,1,0
4,Ravens,Browns,Ravens,1,0,2,0,1,1,0
5,Ravens,Steelers,Steelers,1,1,1,0,1,1,1
12,Ravens,Chargers,Ravens,0,0,0,0,1,1,0
2,Ravens,Bengals,Ravens,0,0,1,0,1,1,0
6,Ravens,Titans,Ravens,0,0,1,0,1,1,0
15,Ravens,Jaguars,Ravens,0,0,2,0,1,1,0
8,Ravens,Cardinals,Ravens,1,0,0,0,1,1,0
16,Ravens,49ers,Ravens,0,1,1,0,1,1,0
6,49ers,Browns,Browns,1,0,2,0,1,1,1
7,49ers,Vikings,Vikings,2,0,0,0,1,1,1
1,49ers,Steelers,49ers,1,1,1,0,1,1,0
17,49ers,Commanders,49ers,0,0,0,0,1,1,0
13,49ers,Eagles,49ers,1,1,2,0,1,1,0
12,49ers,Seahawks,49ers,0,0,3,0,1,1,0
10,49ers,Jaguars,49ers,0,0,2,0,1,1,0
2,49ers,Rams,49ers,0,2,0,0,1,1,0
15,49ers,Cardinals,49ers,1,0,0,0,1,1,0
9,Cardinals,Browns,Browns,1,0,2,1,0,0,1
13,Cardinals,Steelers,Cardinals,1,1,1,1,0,0,0
1,Cardinals,Commanders,Commanders,0,0,0,1,0,0,1
16,Cardinals,Bears,Bears,0,0,2,1,0,0,1
17,Cardinals,Eagles,Cardinals,1,1,2,1,0,0,0
7,Cardinals,Seahawks,Seahawks,0,0,3,1,0,0,1
11,Cardinals,Texans,Texans,1,0,0,1,0,0,1
6,Cardinals,Rams,Rams,0,2,0,1,0,0,1
4,Cardinals,49ers,49ers,0,1,1,1,0,0,1
11,Steelers,Browns,Browns,1,0,2,1,1,1,1
15,Steelers,Colts,Colts,1,1,3,1,1,1,1
18,Steelers,Ravens,Steelers,0,1,1,1,1,1,0
17,Steelers,Seahawks,Steelers,0,0,3,1,1,1,0
12,Steelers,Bengals,Steelers,0,0,1,1,1,1,0
4,Steelers,Texans,Texans,1,0,0,1,1,1,1
7,Steelers,Rams,Steelers,0,2,0,1,1,1,0
3,Steelers,Raiders,Steelers,2,1,3,1,1,1,0
14,Jaguars,Browns,Browns,1,0,2,0,0,2,1
1,Jaguars,Colts,Jaguars,1,1,3,0,0,2,0
7,Jaguars,Saints,Jaguars,1,0,1,0,0,2,0
8,Jaguars,Steelers,Jaguars,1,1,1,0,0,2,0
5,Jaguars,Bills,Jaguars,0,0,2,0,0,2,0
18,Jaguars,Titans,Titans,0,0,1,0,0,2,1
16,Jaguars,Buccaneers,Buccaneers,0,1,1,0,0,2,1
12,Jaguars,Texans,Jaguars,1,0,0,0,0,2,0
17,Jets,Browns,Browns,1,0,2,1,3,2,1
5,Jets,Broncos,Jets,1,1,0,1,3,2,0
8,Jets,Giants,Jets,0,0,3,1,3,2,0
11,Jets,Bills,Bills,0,0,2,1,3,2,1
2,Jets,Cowboys,Cowboys,1,1,5,1,3,2,1
18,Jets,Patriots,Jets,1,1,0,1,3,2,0
15,Jets,Dolphins,Dolphins,0,0,4,1,3,2,1
10,Jets,Raiders,Raiders,2,1,3,1,3,2,1
4,Rams,Colts,Rams,1,1,3,0,2,0,0
14,Rams,Ravens,Ravens,0,1,1,0,2,0,1
1,Rams,Seahawks,Rams,0,0,3,0,2,0,0
17,Rams,Giants,Rams,0,0,3,0,2,0,0
3,Rams,Bengals,Bengals,0,0,1,0,2,0,1
12,Rams,Cardinals,Rams,1,0,0,0,2,0,0
8,Rams,Cowboys,Cowboys,1,1,5,0,2,0,1
18,Rams,49ers,Rams,0,1,1,0,2,0,0
9,Rams,Packers,Packers,1,0,1,0,2,0,1
7,Browns,Colts,Browns,1,1,3,1,0,2,0
2,Browns,Steelers,Steelers,1,1,1,1,0,2,1
10,Browns,Ravens,Browns,0,1,1,1,0,2,0
12,Browns,Broncos,Broncos,1,1,0,1,0,2,1
8,Browns,Seahawks,Seahawks,0,0,3,1,0,2,1
18,Browns,Bengals,Bengals,0,0,1,1,0,2,1
16,Browns,Texans,Browns,1,0,0,1,0,2,0
13,Browns,Rams,Rams,0,2,0,1,0,2,1
5,Chiefs,Vikings,Chiefs,2,0,0,2,0,0,0
8,Chiefs,Broncos,Broncos,1,1,0,2,0,0,1
18,Chiefs,Chargers,Chiefs,0,0,0,2,0,0,0
4,Chiefs,Jets,Chiefs,1,3,2,2,0,0,0
2,Chiefs,Jaguars,Chiefs,0,0,2,2,0,0,0
15,Chiefs,Patriots,Patriots,1,1,0,2,0,0,0
13,Chiefs,Packers,Packers,1,0,1,2,0,0,1
12,Chiefs,Raiders,Chiefs,2,1,3,2,0,0,0
15,Giants,Saints,Saints,1,0,1,0,0,3,1
11,Giants,Commanders,Giants,0,0,0,0,0,3,0
16,Giants,Eagles,Eagles,1,1,2,0,0,3,1
6,Giants,Bills,Bills,0,0,2,0,0,3,1
2,Giants,Cardinals,Giants,1,0,0,0,0,3,0
10,Giants,Cowboys,Cowboys,1,1,5,0,0,3,1
3,Giants,49ers,49ers,0,1,1,0,0,3,1
5,Giants,Dolphins,Dolphins,0,0,4,0,0,3,1
9,Giants,Raiders,Raiders,2,1,3,0,0,3,1
18,Falcons,Saints,Saints,1,0,1,0,1,1,1
17,Falcons,Bears,Bears,0,0,2,0,1,1,1
3,Falcons,Lions,Lions,0,1,1,0,1,1,1
8,Falcons,Titans,Titans,0,0,1,0,1,1,1
7,Falcons,Buccaneers,Falcons,0,1,1,0,1,1,0
4,Falcons,Jaguars,Jaguars,0,0,2,0,1,1,1
10,Falcons,Cardinals,Cardinals,1,0,0,0,1,1,1
15,Falcons,Panthers,Panthers,0,0,2,0,1,1,1
14,Patriots,Steelers,Patriots,1,1,1,1,1,0,0
16,Patriots,Broncos,Patriots,1,1,0,1,1,0,0
1,Patriots,Eagles,Eagles,1,1,2,1,1,0,1
12,Patriots,Giants,Giants,0,0,3,1,1,0,1
3,Patriots,Jets,Patriots,1,3,2,1,1,0,0
17,Patriots,Bills,Bills,0,0,2,1,1,0,1
4,Patriots,Cowboys,Cowboys,1,1,5,1,1,0,1
8,Patriots,Dolphins,Dolphins,0,0,4,1,1,0,1
6,Patriots,Raiders,Raiders,2,1,3,1,1,0,1
18,Cowboys,Commanders,Cowboys,0,0,0,1,1,5,0
9,Cowboys,Eagles,Eagles,1,1,2,1,1,5,1
6,Cowboys,Chargers,Cowboys,0,0,0,1,1,5,0
1,Cowboys,Giants,Cowboys,0,0,3,1,1,5,0
15,Cowboys,Bills,Bills,0,0,2,1,1,5,1
3,Cowboys,Cardinals,Cardinals,1,0,0,1,1,5,1
11,Cowboys,Panthers,Cowboys,0,0,2,1,1,5,0
5,Cowboys,49ers,49ers,0,1,1,1,1,5,1
16,Cowboys,Dolphins,Dolphins,0,0,4,1,1,5,1
9,Seahawks,Ravens,Ravens,0,1,1,0,0,3,1
4,Seahawks,Giants,Seahawks,0,0,3,0,0,3,0
6,Seahawks,Bengals,Bengals,0,0,1,0,0,3,1
2,Seahawks,Lions,Seahawks,0,1,1,0,0,3,0
16,Seahawks,Titans,Seahawks,0,0,1,0,0,3,0
11,Seahawks,Rams,Rams,0,2,0,0,0,3,1
18,Seahawks,Cardinals,Seahawks,1,0,0,0,0,3,0
13,Seahawks,Cowboys,Cowboys,1,1,5,0,0,3,1
14,Seahawks,49ers,49ers,0,1,1,0,0,3,1
