Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,PDef_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,PDef_away,Home_Win
1,Bills,Jets,Jets,313,3182,10.2,19,39,7,81,150,47.9,5,89,363,3676,10.1,18,44,1,48,183,50.4,7,67,1
9,Bills,Bengals,Bengals,364,4480,12.3,23,65,11,86,201,55.2,4,80,363,3676,10.1,18,44,1,48,183,50.4,7,67,1
7,Bills,Patriots,Patriots,370,3791,10.2,19,48,6,51,181,48.9,3,89,363,3676,10.1,18,44,1,48,183,50.4,7,67,1
18,Bills,Dolphins,Bills,380,4132,10.9,27,57,10,75,186,49.0,6,66,363,3676,10.1,18,44,1,48,183,50.4,7,67,0
16,Raiders,Chiefs,Raiders,340,3352,9.9,19,39,3,60,169,49.7,6,71,376,3900,10.4,21,43,11,79,187,49.7,4,78,0
17,Raiders,Colts,Colts,370,4157,11.2,21,54,8,75,192,51.9,4,79,376,3900,10.4,21,43,11,79,187,49.7,4,78,1
7,Raiders,Bears,Bears,410,4245,10.4,31,48,10,75,196,47.8,4,80,376,3900,10.4,21,43,11,79,187,49.7,4,78,1
1,Raiders,Broncos,Raiders,382,4302,11.3,29,56,8,68,201,52.6,2,66,376,3900,10.4,21,43,11,79,187,49.7,4,78,0
4,Raiders,Chargers,Chargers,389,4580,11.8,26,61,14,70,203,52.2,3,86,376,3900,10.4,21,43,11,79,187,49.7,4,78,1
2,Raiders,Bills,Bills,363,3676,10.1,18,44,1,48,183,50.4,7,67,376,3900,10.4,21,43,11,79,187,49.7,4,78,1
8,Raiders,Lions,Lions,371,4562,12.3,28,69,9,92,209,56.3,3,57,376,3900,10.4,21,43,11,79,187,49.7,4,78,1
11,Raiders,Dolphins,Dolphins,380,4132,10.9,27,57,10,75,186,49.0,6,66,376,3900,10.4,21,43,11,79,187,49.7,4,78,1
17,Bengals,Chiefs,Chiefs,340,3352,9.9,19,39,3,60,169,49.7,6,71,364,4480,12.3,23,65,11,86,201,55.2,4,80,1
1,Bengals,Browns,Browns,307,3149,10.3,23,39,7,75,136,44.3,2,95,364,4480,12.3,23,65,11,86,201,55.2,4,80,1
16,Bengals,Steelers,Steelers,348,4164,12.0,23,63,6,80,186,53.4,6,66,364,4480,12.3,23,65,11,86,201,55.2,4,80,1
11,Bengals,Ravens,Ravens,384,3717,9.7,18,46,6,71,175,45.6,3,47,364,4480,12.3,23,65,11,86,201,55.2,4,80,1
4,Bengals,Titans,Titans,387,4181,10.8,20,52,11,59,189,48.8,2,79,364,4480,12.3,23,65,11,86,201,55.2,4,80,1
13,Bengals,Jaguars,Bengals,404,4355,10.8,27,47,13,76,198,49.0,5,73,364,4480,12.3,23,65,11,86,201,55.2,4,80,0
5,Bengals,Cardinals,Bengals,347,3846,11.1,32,49,10,63,198,57.1,2,79,364,4480,12.3,23,65,11,86,201,55.2,4,80,0
