Week,Away Team,Home Team,Winning Team,FGM_home,FG %_home,XPM_home,XP Pct_home,KRet TD_home,PRet T_home,FGM_away,FG %_away,XPM_away,XP Pct_away,KRet TD_away,PRet T_away,Home_Win
4,Vikings,Panthers,Vikings,25,83.3,17,85.0,0,1,24,80.0,36,94.7,0,0,0
8,Vikings,Packers,Vikings,27,81.8,34,87.2,0,0,24,80.0,36,94.7,0,0,0
14,Vikings,Raiders,Vikings,26,86.7,32,100.0,0,0,24,80.0,36,94.7,0,0,0
12,Saints,Falcons,Falcons,32,86.5,27,96.4,0,0,30,81.1,40,100.0,0,1,1
8,Saints,Colts,Saints,33,80.5,35,97.2,0,0,30,81.1,40,100.0,0,1,0
10,Saints,Vikings,Vikings,24,80.0,36,94.7,0,0,30,81.1,40,100.0,0,1,1
17,Saints,Buccaneers,Saints,29,93.6,33,100.0,0,0,30,81.1,40,100.0,0,1,0
6,Saints,Texans,Texans,34,89.5,31,93.9,2,0,30,81.1,40,100.0,0,1,1
16,Saints,Rams,Rams,32,74.4,32,86.5,0,0,30,81.1,40,100.0,0,1,1
5,Saints,Patriots,Saints,16,64.0,24,96.0,1,0,30,81.1,40,100.0,0,1,0
2,Saints,Panthers,Saints,25,83.3,17,85.0,0,1,30,81.1,40,100.0,0,1,0
3,Saints,Packers,Packers,27,81.8,34,87.2,0,0,30,81.1,40,100.0,0,1,1
14,Buccaneers,Falcons,Buccaneers,32,86.5,27,96.4,0,0,29,93.6,33,100.0,0,0,0
12,Buccaneers,Colts,Colts,33,80.5,35,97.2,0,0,29,93.6,33,100.0,0,0,1
1,Buccaneers,Vikings,Buccaneers,24,80.0,36,94.7,0,0,29,93.6,33,100.0,0,0,0
4,Buccaneers,Saints,Buccaneers,30,81.1,40,100.0,0,1,29,93.6,33,100.0,0,0,0
8,Buccaneers,Bills,Bills,24,82.8,49,98.0,0,1,29,93.6,33,100.0,0,0,1
9,Buccaneers,Texans,Texans,34,89.5,31,93.9,2,0,29,93.6,33,100.0,0,0,1
18,Buccaneers,Panthers,Buccaneers,25,83.3,17,85.0,0,1,29,93.6,33,100.0,0,0,0
11,Buccaneers,49ers,49ers,21,84.0,60,98.4,0,0,29,93.6,33,100.0,0,0,1
15,Buccaneers,Packers,Buccaneers,27,81.8,34,87.2,0,0,29,93.6,33,100.0,0,0,0
16,Colts,Falcons,Falcons,32,86.5,27,96.4,0,0,33,80.5,35,97.2,0,0,1
3,Colts,Ravens,Colts,32,86.5,51,98.1,0,1,33,80.5,35,97.2,0,0,0
14,Colts,Bengals,Bengals,26,83.9,40,100.0,0,1,33,80.5,35,97.2,0,0,1
13,Colts,Titans,Colts,29,96.7,28,93.3,0,0,33,80.5,35,97.2,0,0,0
6,Colts,Jaguars,Jaguars,30,81.1,35,100.0,0,0,33,80.5,35,97.2,0,0,1
2,Colts,Texans,Colts,34,89.5,31,93.9,2,0,33,80.5,35,97.2,0,0,0
10,Colts,Patriots,Colts,16,64.0,24,96.0,1,0,33,80.5,35,97.2,0,0,0
9,Colts,Panthers,Colts,25,83.3,17,85.0,0,1,33,80.5,35,97.2,0,0,0
3,Titans,Browns,Browns,34,91.9,30,90.9,0,0,29,96.7,28,93.3,0,0,1
5,Titans,Colts,Colts,33,80.5,35,97.2,0,0,29,96.7,28,93.3,0,0,1
1,Titans,Saints,Saints,30,81.1,40,100.0,0,1,29,96.7,28,93.3,0,0,1
9,Titans,Steelers,Steelers,29,93.6,27,96.4,0,0,29,96.7,28,93.3,0,0,1
10,Titans,Buccaneers,Buccaneers,29,93.6,33,100.0,0,0,29,96.7,28,93.3,0,0,1
11,Titans,Jaguars,Jaguars,30,81.1,35,100.0,0,0,29,96.7,28,93.3,0,0,1
17,Titans,Texans,Texans,34,89.5,31,93.9,2,0,29,96.7,28,93.3,0,0,1
14,Titans,Dolphins,Titans,24,85.7,58,98.3,0,0,29,96.7,28,93.3,0,0,0
4,Ravens,Browns,Ravens,34,91.9,30,90.9,0,0,32,86.5,51,98.1,0,1,0
5,Ravens,Steelers,Steelers,29,93.6,27,96.4,0,0,32,86.5,51,98.1,0,1,1
12,Ravens,Chargers,Ravens,31,93.9,35,100.0,0,1,32,86.5,51,98.1,0,1,0
2,Ravens,Bengals,Ravens,26,83.9,40,100.0,0,1,32,86.5,51,98.1,0,1,0
6,Ravens,Titans,Ravens,29,96.7,28,93.3,0,0,32,86.5,51,98.1,0,1,0
15,Ravens,Jaguars,Ravens,30,81.1,35,100.0,0,0,32,86.5,51,98.1,0,1,0
8,Ravens,Cardinals,Ravens,28,84.8,22,95.6,0,0,32,86.5,51,98.1,0,1,0
16,Ravens,49ers,Ravens,21,84.0,60,98.4,0,0,32,86.5,51,98.1,0,1,0
6,49ers,Browns,Browns,34,91.9,30,90.9,0,0,21,84.0,60,98.4,0,0,1
7,49ers,Vikings,Vikings,24,80.0,36,94.7,0,0,21,84.0,60,98.4,0,0,1
1,49ers,Steelers,49ers,29,93.6,27,96.4,0,0,21,84.0,60,98.4,0,0,0
17,49ers,Commanders,49ers,19,79.2,32,91.4,0,0,21,84.0,60,98.4,0,0,0
13,49ers,Eagles,49ers,30,93.8,45,97.8,0,0,21,84.0,60,98.4,0,0,0
12,49ers,Seahawks,49ers,35,83.3,33,100.0,0,0,21,84.0,60,98.4,0,0,0
10,49ers,Jaguars,49ers,30,81.1,35,100.0,0,0,21,84.0,60,98.4,0,0,0
2,49ers,Rams,49ers,32,74.4,32,86.5,0,0,21,84.0,60,98.4,0,0,0
15,49ers,Cardinals,49ers,28,84.8,22,95.6,0,0,21,84.0,60,98.4,0,0,0
9,Cardinals,Browns,Browns,34,91.9,30,90.9,0,0,28,84.8,22,95.6,0,0,1
13,Cardinals,Steelers,Cardinals,29,93.6,27,96.4,0,0,28,84.8,22,95.6,0,0,0
1,Cardinals,Commanders,Commanders,19,79.2,32,91.4,0,0,28,84.8,22,95.6,0,0,1
16,Cardinals,Bears,Bears,35,92.1,31,93.9,0,0,28,84.8,22,95.6,0,0,1
17,Cardinals,Eagles,Cardinals,30,93.8,45,97.8,0,0,28,84.8,22,95.6,0,0,0
7,Cardinals,Seahawks,Seahawks,35,83.3,33,100.0,0,0,28,84.8,22,95.6,0,0,1
11,Cardinals,Texans,Texans,34,89.5,31,93.9,2,0,28,84.8,22,95.6,0,0,1
6,Cardinals,Rams,Rams,32,74.4,32,86.5,0,0,28,84.8,22,95.6,0,0,1
4,Cardinals,49ers,49ers,21,84.0,60,98.4,0,0,28,84.8,22,95.6,0,0,1
11,Steelers,Browns,Browns,34,91.9,30,90.9,0,0,29,93.6,27,96.4,0,0,1
15,Steelers,Colts,Colts,33,80.5,35,97.2,0,0,29,93.6,27,96.4,0,0,1
18,Steelers,Ravens,Steelers,32,86.5,51,98.1,0,1,29,93.6,27,96.4,0,0,0
17,Steelers,Seahawks,Steelers,35,83.3,33,100.0,0,0,29,93.6,27,96.4,0,0,0
12,Steelers,Bengals,Steelers,26,83.9,40,100.0,0,1,29,93.6,27,96.4,0,0,0
4,Steelers,Texans,Texans,34,89.5,31,93.9,2,0,29,93.6,27,96.4,0,0,1
7,Steelers,Rams,Steelers,32,74.4,32,86.5,0,0,29,93.6,27,96.4,0,0,0
3,Steelers,Raiders,Steelers,26,86.7,32,100.0,0,0,29,93.6,27,96.4,0,0,0
14,Jaguars,Browns,Browns,34,91.9,30,90.9,0,0,30,81.1,35,100.0,0,0,1
1,Jaguars,Colts,Jaguars,33,80.5,35,97.2,0,0,30,81.1,35,100.0,0,0,0
7,Jaguars,Saints,Jaguars,30,81.1,40,100.0,0,1,30,81.1,35,100.0,0,0,0
