Week,Away Team,Home Team,Winning Team,Att_home,Rush Yds_home,YPC_home,TD_home,20_home,40_home,Lng_home,Rush 1st_home,Rush 1st%_home,Rush FUM_home,Att_away,Rush Yds_away,YPC_away,TD_away,20_away,40_away,Lng_away,Rush 1st_away,Rush 1st%_away,Rush FUM_away,Home_Win
3,Rams,Bengals,Bengals,383,1527,4.0,12,7,1,44,90,23.5,1,477,2045,4.3,18,11,1,56,110,23.1,2,1
12,Rams,Cardinals,Rams,471,2365,5.0,17,23,5,49,127,27.0,9,477,2045,4.3,18,11,1,56,110,23.1,2,0
8,Rams,Cowboys,Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4,477,2045,4.3,18,11,1,56,110,23.1,2,1
18,Rams,49ers,Rams,499,2389,4.8,27,11,3,72,147,29.5,5,477,2045,4.3,18,11,1,56,110,23.1,2,0
9,Rams,Packers,Packers,441,1905,4.3,10,13,1,40,101,22.9,6,477,2045,4.3,18,11,1,56,110,23.1,2,1
7,Browns,Colts,Browns,479,2059,4.3,19,14,4,56,113,23.6,4,518,2017,3.9,15,9,3,69,121,23.4,9,0
2,Browns,Steelers,Steelers,487,2010,4.1,16,14,1,74,115,23.6,9,518,2017,3.9,15,9,3,69,121,23.4,9,1
10,Browns,Ravens,Browns,541,2661,4.9,26,21,4,60,144,26.6,7,518,2017,3.9,15,9,3,69,121,23.4,9,0
12,Browns,Broncos,Broncos,451,1810,4.0,8,9,0,38,116,25.7,5,518,2017,3.9,15,9,3,69,121,23.4,9,1
8,Browns,Seahawks,Seahawks,382,1580,4.1,11,13,1,45,93,24.4,2,518,2017,3.9,15,9,3,69,121,23.4,9,1
18,Browns,Bengals,Bengals,383,1527,4.0,12,7,1,44,90,23.5,1,518,2017,3.9,15,9,3,69,121,23.4,9,1
16,Browns,Texans,Browns,444,1647,3.7,10,4,0,24,84,18.9,5,518,2017,3.9,15,9,3,69,121,23.4,9,0
13,Browns,Rams,Rams,477,2045,4.3,18,11,1,56,110,23.1,2,518,2017,3.9,15,9,3,69,121,23.4,9,1
5,Chiefs,Vikings,Chiefs,393,1553,4.0,7,5,0,31,79,20.1,9,417,1784,4.3,9,10,1,48,107,25.7,2,0
8,Chiefs,Broncos,Broncos,451,1810,4.0,8,9,0,38,116,25.7,5,417,1784,4.3,9,10,1,48,107,25.7,2,1
18,Chiefs,Chargers,Chiefs,431,1642,3.8,11,9,3,55,89,20.6,6,417,1784,4.3,9,10,1,48,107,25.7,2,0
4,Chiefs,Jets,Chiefs,388,1647,4.2,7,9,4,83,77,19.8,11,417,1784,4.3,9,10,1,48,107,25.7,2,0
2,Chiefs,Jaguars,Chiefs,453,1646,3.6,17,9,1,62,98,21.6,5,417,1784,4.3,9,10,1,48,107,25.7,2,0
15,Chiefs,Patriots,Patriots,415,1627,3.9,9,3,1,64,93,22.4,3,417,1784,4.3,9,10,1,48,107,25.7,2,0
13,Chiefs,Packers,Packers,441,1905,4.3,10,13,1,40,101,22.9,6,417,1784,4.3,9,10,1,48,107,25.7,2,1
12,Chiefs,Raiders,Chiefs,413,1542,3.7,11,7,3,63,83,20.1,5,417,1784,4.3,9,10,1,48,107,25.7,2,0
15,Giants,Saints,Saints,480,1742,3.6,13,4,0,29,112,23.3,6,454,1874,4.1,10,12,0,36,97,21.4,8,1
11,Giants,Commanders,Giants,359,1592,4.4,14,8,0,29,99,27.6,6,454,1874,4.1,10,12,0,36,97,21.4,8,0
16,Giants,Eagles,Eagles,510,2190,4.3,22,11,1,43,149,29.2,9,454,1874,4.1,10,12,0,36,97,21.4,8,1
6,Giants,Bills,Bills,512,2212,4.3,22,9,1,42,158,30.9,9,454,1874,4.1,10,12,0,36,97,21.4,8,1
2,Giants,Cardinals,Giants,471,2365,5.0,17,23,5,49,127,27.0,9,454,1874,4.1,10,12,0,36,97,21.4,8,0
10,Giants,Cowboys,Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4,454,1874,4.1,10,12,0,36,97,21.4,8,1
3,Giants,49ers,49ers,499,2389,4.8,27,11,3,72,147,29.5,5,454,1874,4.1,10,12,0,36,97,21.4,8,1
5,Giants,Dolphins,Dolphins,456,2308,5.1,27,17,8,76,113,24.8,13,454,1874,4.1,10,12,0,36,97,21.4,8,1
9,Giants,Raiders,Raiders,413,1542,3.7,11,7,3,63,83,20.1,5,454,1874,4.1,10,12,0,36,97,21.4,8,1
18,Falcons,Saints,Saints,480,1742,3.6,13,4,0,29,112,23.3,6,522,2159,4.1,14,11,0,38,121,23.2,13,1
17,Falcons,Bears,Bears,534,2399,4.5,16,13,0,39,137,25.7,5,522,2159,4.1,14,11,0,38,121,23.2,13,1
3,Falcons,Lions,Lions,500,2311,4.6,27,15,3,75,124,24.8,7,522,2159,4.1,14,11,0,38,121,23.2,13,1
8,Falcons,Titans,Titans,444,1846,4.2,16,10,2,69,103,23.2,6,522,2159,4.1,14,11,0,38,121,23.2,13,1
