Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,KRet TD_home,20_home,40_home,Lng_home,FC_home,FUM_home,FG Blk_home,XP Blk_home,Avg_away,Ret_away,Yds_away,KRet TD_away,20_away,40_away,Lng_away,FC_away,FUM_away,FG Blk_away,XP Blk_away,Home_Win
9,Titans,Steelers,Steelers,23.5,24,565,0,17,0,37,2,0,0,1,20.7,18,372,0,11,0,33,14,0,1,1,1
10,Titans,Buccaneers,Buccaneers,20.4,16,327,0,7,0,32,5,0,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
11,Titans,Jaguars,Jaguars,23.7,29,688,0,21,1,53,0,0,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
17,Titans,Texans,Texans,26.6,23,613,2,15,2,98,1,0,1,0,20.7,18,372,0,11,0,33,14,0,1,1,1
14,Titans,Dolphins,Titans,24.5,18,441,0,16,0,33,1,0,0,0,20.7,18,372,0,11,0,33,14,0,1,1,0
4,Ravens,Browns,Ravens,23.7,11,261,0,7,0,36,2,0,3,0,24.5,13,319,0,8,1,78,4,0,0,0,0
5,Ravens,Steelers,Steelers,23.5,24,565,0,17,0,37,2,0,0,1,24.5,13,319,0,8,1,78,4,0,0,0,1
12,Ravens,Chargers,Ravens,21.7,18,390,0,13,1,46,2,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
2,Ravens,Bengals,Ravens,22.8,17,387,0,11,2,46,0,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
6,Ravens,Titans,Ravens,20.7,18,372,0,11,0,33,14,0,1,1,24.5,13,319,0,8,1,78,4,0,0,0,0
15,Ravens,Jaguars,Ravens,23.7,29,688,0,21,1,53,0,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
8,Ravens,Cardinals,Ravens,21.2,18,382,0,10,1,40,1,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
16,Ravens,49ers,Ravens,21.8,20,437,0,11,0,34,0,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
6,49ers,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,21.8,20,437,0,11,0,34,0,0,0,0,1
7,49ers,Vikings,Vikings,25.1,19,477,0,14,1,47,1,0,0,1,21.8,20,437,0,11,0,34,0,0,0,0,1
1,49ers,Steelers,49ers,23.5,24,565,0,17,0,37,2,0,0,1,21.8,20,437,0,11,0,34,0,0,0,0,0
17,49ers,Commanders,49ers,25.0,24,601,0,18,1,40,0,1,1,0,21.8,20,437,0,11,0,34,0,0,0,0,0
13,49ers,Eagles,49ers,19.5,13,254,0,5,0,38,10,1,1,0,21.8,20,437,0,11,0,34,0,0,0,0,0
12,49ers,Seahawks,49ers,26.2,26,680,0,24,1,66,0,0,1,0,21.8,20,437,0,11,0,34,0,0,0,0,0
10,49ers,Jaguars,49ers,23.7,29,688,0,21,1,53,0,0,0,0,21.8,20,437,0,11,0,34,0,0,0,0,0
2,49ers,Rams,49ers,16.1,9,145,0,4,0,36,18,0,0,1,21.8,20,437,0,11,0,34,0,0,0,0,0
15,49ers,Cardinals,49ers,21.2,18,382,0,10,1,40,1,0,0,0,21.8,20,437,0,11,0,34,0,0,0,0,0
9,Cardinals,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,21.2,18,382,0,10,1,40,1,0,0,0,1
13,Cardinals,Steelers,Cardinals,23.5,24,565,0,17,0,37,2,0,0,1,21.2,18,382,0,10,1,40,1,0,0,0,0
1,Cardinals,Commanders,Commanders,25.0,24,601,0,18,1,40,0,1,1,0,21.2,18,382,0,10,1,40,1,0,0,0,1
16,Cardinals,Bears,Bears,23.6,23,543,0,18,0,37,2,0,1,1,21.2,18,382,0,10,1,40,1,0,0,0,1
