Week,Away Team,Home Team,Winning Team,Att_home,Cmp_home,Cmp %_home,Yds/Att_home,Yds_home,TD_home,INT_home,Rate_home,1st_home,1st%_home,20_home,40_home,Lng_home,Sck_home,Att_away,Cmp_away,Cmp %_away,Yds/Att_away,Yds_away,TD_away,INT_away,Rate_away,1st_away,1st%_away,20_away,40_away,Lng_away,Sck_away,Home_Win
18,Bears,Packers,Packers,523,342,65.4,7.3,3803,21,7,94.7,189,36.1,56,3,52,45,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,1
6,Broncos,Chiefs,Chiefs,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,1
4,Broncos,Bears,Broncos,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,0
14,Broncos,Chargers,Broncos,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,0
10,Broncos,Bills,Broncos,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,0
15,Broncos,Lions,Lions,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,1
13,Broncos,Texans,Texans,565,382,67.6,7.7,4334,17,14,90.1,185,32.7,60,15,75,46,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,1
3,Broncos,Dolphins,Dolphins,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,1
18,Broncos,Raiders,Raiders,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,1
7,Chargers,Chiefs,Chiefs,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,1
3,Chargers,Vikings,Chargers,606,426,70.3,7.1,4288,23,11,95.2,208,34.3,51,7,70,43,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,0
17,Chargers,Broncos,Broncos,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,1
9,Chargers,Jets,Chargers,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,0
2,Chargers,Titans,Titans,571,387,67.8,7.3,4181,20,6,96.4,189,33.1,52,11,59,45,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,1
13,Chargers,Patriots,Chargers,575,370,64.4,6.6,3791,19,10,87.0,181,31.5,48,6,51,36,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,0
11,Chargers,Packers,Packers,523,342,65.4,7.3,3803,21,7,94.7,189,36.1,56,3,52,45,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,1
15,Chargers,Raiders,Raiders,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,1
9,Dolphins,Chiefs,Chiefs,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,1
13,Dolphins,Commanders,Dolphins,598,396,66.2,7.7,4627,39,8,105.7,218,36.4,60,12,78,39,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,0
17,Dolphins,Ravens,Ravens,634,384,60.6,5.9,3717,18,18,74.6,175,27.6,46,6,71,60,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,1
7,Dolphins,Eagles,Eagles,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,1
1,Dolphins,Chargers,Dolphins,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,0
12,Dolphins,Jets,Dolphins,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,0
4,Dolphins,Bills,Bills,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,1
2,Dolphins,Patriots,Dolphins,575,370,64.4,6.6,3791,19,10,87.0,181,31.5,48,6,51,36,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,0
11,Eagles,Chiefs,Eagles,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,0
8,Eagles,Commanders,Eagles,598,396,66.2,7.7,4627,39,8,105.7,218,36.4,60,12,78,39,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,0
15,Eagles,Seahawks,Seahawks,585,390,66.7,7.3,4259,21,11,92.1,202,34.5,57,10,54,47,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,1
18,Eagles,Giants,Giants,582,371,63.8,7.1,4157,21,18,84.1,191,32.8,43,10,80,34,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,1
6,Eagles,Jets,Jets,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,1
3,Eagles,Buccaneers,Eagles,611,404,66.1,7.5,4568,23,13,92.0,213,34.9,65,9,76,48,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,0
5,Eagles,Rams,Eagles,604,367,60.8,7.0,4195,24,10,88.0,193,32.0,57,10,80,41,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,0
14,Eagles,Cowboys,Cowboys,509,308,60.5,6.8,3481,21,17,80.8,166,32.6,47,7,73,46,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,1
14,Bills,Chiefs,Bills,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,0
3,Bills,Commanders,Bills,598,396,66.2,7.7,4627,39,8,105.7,218,36.4,60,12,78,39,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,0
12,Bills,Eagles,Eagles,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,1
16,Bills,Chargers,Bills,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,0
1,Bills,Jets,Jets,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,1
9,Bills,Bengals,Bengals,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,1
7,Bills,Patriots,Patriots,575,370,64.4,6.6,3791,19,10,87.0,181,31.5,48,6,51,36,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,1
18,Bills,Dolphins,Bills,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,0
16,Raiders,Chiefs,Raiders,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,0
17,Raiders,Colts,Colts,568,370,65.1,7.3,4157,21,15,88.2,192,33.8,54,8,75,51,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,1
7,Raiders,Bears,Bears,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,1
1,Raiders,Broncos,Raiders,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,0
4,Raiders,Chargers,Chargers,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,1
2,Raiders,Bills,Bills,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,1
8,Raiders,Lions,Lions,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,1
11,Raiders,Dolphins,Dolphins,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,1
17,Bengals,Chiefs,Chiefs,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,1
1,Bengals,Browns,Browns,535,307,57.4,5.9,3149,23,18,74.7,136,25.4,39,7,75,49,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,1
16,Bengals,Steelers,Steelers,573,348,60.7,7.3,4164,23,16,84.7,186,32.5,63,6,80,47,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,1
11,Bengals,Ravens,Ravens,634,384,60.6,5.9,3717,18,18,74.6,175,27.6,46,6,71,60,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,1
