Week,Away Team,Home Team,Winning Team,KO_home,Yds_home,TB_home,TB %_home,Ret_home,Ret Avg_home,OSK_home,OSK Rec_home,OOB_home,TD_home,KO_away,Yds_away,TB_away,TB %_away,Ret_away,Ret Avg_away,OSK_away,OSK Rec_away,OOB_away,TD_away,Home_Win
18,Chiefs,Chargers,Chiefs,81,5168,68,84.0,11,19.4,1,0,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,0
4,Chiefs,Jets,Chiefs,73,4651,62,84.9,8,15.4,1,0,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,0
2,Chiefs,Jaguars,Chiefs,86,5421,65,75.6,14,25.4,2,0,0,1,85,5565,74,87.1,11,28.3,0,0,0,0,0
15,Chiefs,Patriots,Patriots,61,3830,39,63.9,21,20.6,1,0,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,0
13,Chiefs,Packers,Packers,86,5466,37,43.0,40,23.8,1,0,1,0,85,5565,74,87.1,11,28.3,0,0,0,0,1
12,Chiefs,Raiders,Chiefs,78,4977,48,61.5,28,22.8,1,0,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,0
15,Giants,Saints,Saints,91,5828,76,83.5,12,18.8,1,0,0,0,65,4110,38,58.5,16,23.6,0,0,1,0,1
11,Giants,Commanders,Giants,72,4520,64,88.9,5,27.8,3,0,1,0,65,4110,38,58.5,16,23.6,0,0,1,0,0
16,Giants,Eagles,Eagles,91,5846,73,80.2,17,28.9,1,0,0,0,65,4110,38,58.5,16,23.6,0,0,1,0,1
6,Giants,Bills,Bills,95,5952,53,55.8,29,22.4,1,0,1,1,65,4110,38,58.5,16,23.6,0,0,1,0,1
2,Giants,Cardinals,Giants,79,4843,66,83.5,6,22.2,5,1,0,0,65,4110,38,58.5,16,23.6,0,0,1,0,0
10,Giants,Cowboys,Cowboys,109,7068,99,90.8,8,24.8,0,0,1,0,65,4110,38,58.5,16,23.6,0,0,1,0,1
3,Giants,49ers,49ers,97,6131,58,59.8,32,23.3,0,0,2,0,65,4110,38,58.5,16,23.6,0,0,1,0,1
5,Giants,Dolphins,Dolphins,98,6327,83,84.7,15,30.5,0,0,0,1,65,4110,38,58.5,16,23.6,0,0,1,0,1
9,Giants,Raiders,Raiders,78,4977,48,61.5,28,22.8,1,0,0,0,65,4110,38,58.5,16,23.6,0,0,1,0,1
18,Falcons,Saints,Saints,91,5828,76,83.5,12,18.8,1,0,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,1
17,Falcons,Bears,Bears,89,5624,71,79.8,15,24.7,2,0,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,1
3,Falcons,Lions,Lions,93,5814,60,64.5,27,20.8,3,0,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,1
8,Falcons,Titans,Titans,72,4508,34,47.2,35,23.3,2,0,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,1
7,Falcons,Buccaneers,Falcons,82,5124,52,63.4,26,18.9,1,0,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,0
4,Falcons,Jaguars,Jaguars,86,5421,65,75.6,14,25.4,2,0,0,1,79,5128,66,83.5,11,23.7,0,0,1,0,1
10,Falcons,Cardinals,Cardinals,79,4843,66,83.5,6,22.2,5,1,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,1
15,Falcons,Panthers,Panthers,62,3749,37,59.7,20,23.9,4,0,1,0,79,5128,66,83.5,11,23.7,0,0,1,0,1
14,Patriots,Steelers,Patriots,76,4833,55,72.4,18,26.4,0,0,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,0
