Week,Away Team,Home Team,Winning Team,3rd Att_home,3rd Md_home,4th Att_home,4th Md_home,Rec 1st_home,Rec 1st%_home,Rush 1st_home,Rush 1st%_home,Scrm Plys_home,3rd Att_away,3rd Md_away,4th Att_away,4th Md_away,Rec 1st_away,Rec 1st%_away,Rush 1st_away,Rush 1st%_away,Scrm Plys_away,Home_Win
9,Titans,Steelers,Steelers,232,85,19,9,153,47.4,115,23.6,1029,212,71,20,11,158,52.0,103,23.2,1002,1
10,Titans,Buccaneers,Buccaneers,236,98,18,12,188,51.6,79,18.0,1047,212,71,20,11,158,52.0,103,23.2,1002,1
11,Titans,Jaguars,Jaguars,228,87,29,13,199,48.3,98,21.6,1114,212,71,20,11,158,52.0,103,23.2,1002,1
17,Titans,Texans,Texans,232,88,21,8,215,57.8,84,18.9,1083,212,71,20,11,158,52.0,103,23.2,1002,1
14,Titans,Dolphins,Titans,202,85,25,11,223,56.7,113,24.8,1053,212,71,20,11,158,52.0,103,23.2,1002,0
4,Ravens,Browns,Ravens,253,80,32,18,173,48.7,121,23.4,1187,207,87,14,8,180,54.9,144,26.6,1076,0
5,Ravens,Steelers,Steelers,232,85,19,9,153,47.4,115,23.6,1029,207,87,14,8,180,54.9,144,26.6,1076,1
12,Ravens,Chargers,Ravens,237,91,32,15,204,49.9,89,20.6,1106,207,87,14,8,180,54.9,144,26.6,1076,0
2,Ravens,Bengals,Ravens,218,82,20,9,208,49.5,90,23.5,1048,207,87,14,8,180,54.9,144,26.6,1076,0
6,Ravens,Titans,Ravens,212,71,20,11,158,52.0,103,23.2,1002,207,87,14,8,180,54.9,144,26.6,1076,0
15,Ravens,Jaguars,Ravens,228,87,29,13,199,48.3,98,21.6,1114,207,87,14,8,180,54.9,144,26.6,1076,0
8,Ravens,Cardinals,Ravens,225,88,34,15,173,48.7,127,27.0,1068,207,87,14,8,180,54.9,144,26.6,1076,0
16,Ravens,49ers,Ravens,179,85,13,7,207,61.6,147,29.5,1024,207,87,14,8,180,54.9,144,26.6,1076,0
6,49ers,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,179,85,13,7,207,61.6,147,29.5,1024,1
7,49ers,Vikings,Vikings,223,85,29,17,220,51.9,79,20.1,1071,179,85,13,7,207,61.6,147,29.5,1024,1
1,49ers,Steelers,49ers,232,85,19,9,153,47.4,115,23.6,1029,179,85,13,7,207,61.6,147,29.5,1024,0
17,49ers,Commanders,49ers,216,77,29,16,190,46.7,99,27.6,1060,179,85,13,7,207,61.6,147,29.5,1024,0
13,49ers,Eagles,49ers,225,108,26,19,197,53.4,149,29.2,1112,179,85,13,7,207,61.6,147,29.5,1024,0
12,49ers,Seahawks,49ers,207,75,16,6,189,50.9,93,24.4,995,179,85,13,7,207,61.6,147,29.5,1024,0
10,49ers,Jaguars,49ers,228,87,29,13,199,48.3,98,21.6,1114,179,85,13,7,207,61.6,147,29.5,1024,0
2,49ers,Rams,49ers,226,95,21,13,206,57.1,110,23.1,1094,179,85,13,7,207,61.6,147,29.5,1024,0
15,49ers,Cardinals,49ers,225,88,34,15,173,48.7,127,27.0,1068,179,85,13,7,207,61.6,147,29.5,1024,0
9,Cardinals,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,225,88,34,15,173,48.7,127,27.0,1068,1
13,Cardinals,Steelers,Cardinals,232,85,19,9,153,47.4,115,23.6,1029,225,88,34,15,173,48.7,127,27.0,1068,0
1,Cardinals,Commanders,Commanders,216,77,29,16,190,46.7,99,27.6,1060,225,88,34,15,173,48.7,127,27.0,1068,1
16,Cardinals,Bears,Bears,238,98,26,13,169,52.6,137,25.7,1097,225,88,34,15,173,48.7,127,27.0,1068,1
17,Cardinals,Eagles,Cardinals,225,108,26,19,197,53.4,149,29.2,1112,225,88,34,15,173,48.7,127,27.0,1068,0
7,Cardinals,Seahawks,Seahawks,207,75,16,6,189,50.9,93,24.4,995,225,88,34,15,173,48.7,127,27.0,1068,1
