Week,Away Team,Home Team,Winning Team,INT_home,INT TD_home,INT Yds_home,Lng_home,INT_away,INT TD_away,INT Yds_away,Lng_away,Home_Win
12,Jaguars,Texans,Jaguars,14,0,63,33,16,2,264,61,0
17,Jets,Browns,Browns,18,2,135,34,17,2,212,51,1
5,Jets,Broncos,Jets,11,0,85,33,17,2,212,51,0
8,Jets,Giants,Jets,18,3,404,102,17,2,212,51,0
11,Jets,Bills,Bills,18,2,148,40,17,2,212,51,1
2,Jets,Cowboys,Cowboys,17,5,249,63,17,2,212,51,1
18,Jets,Patriots,Jets,10,0,96,32,17,2,212,51,0
15,Jets,Dolphins,Dolphins,15,4,270,99,17,2,212,51,1
10,Jets,Raiders,Raiders,13,3,268,75,17,2,212,51,1
4,Rams,Colts,Rams,15,3,256,66,10,0,100,42,0
14,Rams,Ravens,Ravens,18,1,258,52,10,0,100,42,1
1,Rams,Seahawks,Rams,11,3,177,97,10,0,100,42,0
17,Rams,Giants,Rams,18,3,404,102,10,0,100,42,0
3,Rams,Bengals,Bengals,17,1,152,30,10,0,100,42,1
12,Rams,Cardinals,Rams,11,0,98,46,10,0,100,42,0
8,Rams,Cowboys,Cowboys,17,5,249,63,10,0,100,42,1
18,Rams,49ers,Rams,22,1,309,66,10,0,100,42,0
9,Rams,Packers,Packers,7,1,68,37,10,0,100,42,1
7,Browns,Colts,Browns,15,3,256,66,18,2,135,34,0
2,Browns,Steelers,Steelers,16,1,184,32,18,2,135,34,1
10,Browns,Ravens,Browns,18,1,258,52,18,2,135,34,0
12,Browns,Broncos,Broncos,11,0,85,33,18,2,135,34,1
8,Browns,Seahawks,Seahawks,11,3,177,97,18,2,135,34,1
18,Browns,Bengals,Bengals,17,1,152,30,18,2,135,34,1
16,Browns,Texans,Browns,14,0,63,33,18,2,135,34,0
13,Browns,Rams,Rams,10,0,100,42,18,2,135,34,1
5,Chiefs,Vikings,Chiefs,11,0,112,43,8,0,69,24,0
8,Chiefs,Broncos,Broncos,11,0,85,33,8,0,69,24,1
18,Chiefs,Chargers,Chiefs,9,0,31,9,8,0,69,24,0
4,Chiefs,Jets,Chiefs,17,2,212,51,8,0,69,24,0
2,Chiefs,Jaguars,Chiefs,16,2,264,61,8,0,69,24,0
15,Chiefs,Patriots,Patriots,10,0,96,32,8,0,69,24,0
13,Chiefs,Packers,Packers,7,1,68,37,8,0,69,24,1
12,Chiefs,Raiders,Chiefs,13,3,268,75,8,0,69,24,0
15,Giants,Saints,Saints,18,1,185,74,18,3,404,102,1
11,Giants,Commanders,Giants,8,0,85,52,18,3,404,102,0
16,Giants,Eagles,Eagles,9,2,207,99,18,3,404,102,1
